distance_in_ICMP_pair_percentile_0,distance_in_ICMP_pair_percentile_25,distance_in_ICMP_pair_percentile_50,distance_in_ICMP_pair_percentile_75,distance_in_ICMP_pair_percentile_100,distance_in_ICMP_pair_mean,distance_between_type_8_percentile_0,distance_between_type_8_percentile_25,distance_between_type_8_percentile_50,distance_between_type_8_percentile_75,distance_between_type_8_percentile_100,distance_between_type_8_mean,distance_between_type_0_percentile_0,distance_between_type_0_percentile_25,distance_between_type_0_percentile_50,distance_between_type_0_percentile_75,distance_between_type_0_percentile_100,distance_between_type_0_mean,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,64,2.195266272,38,40,48,59,60,49,0,0,0,0,18,0.215568862,1
2,2,2,2,2,2,4,5,5,5,5,4.866666667,2,2,2,7,7,4.41322314,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,3,3,4,4,3.421052632,3,3,3,4,4,3.421052632,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,3,3,4,4,3.451612903,3,3,3,4,4,3.451612903,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,737,33.87826087,0,0,1,24.25,76,15.28070175,0,0,12,51,623,38.18292683,1
0,0,0,0,0,0,2,3,3,4,4,3.377483444,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,30,113,22.62724014,4,12,13,56,81,27.39928058,2,12,13,28,82,21.96768402,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1754,40.28494624,0,0,8,10,109,11.33333333,0,0,10,30,1439,46.21886792,1
0,0,0,55,1203,34.34293948,1,12,14,55,82,27.16473988,2,12,21,32,906,32.15050651,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2086,52.29756098,0,0,1,44,1375,42.29901961,0,0,41,62,1418,74.12,1
0,0,0,0,0,0,1,120,240,450,1470,352.9850391,1,120,240,450,1470,350.6747029,0
0,0,0,59,1585,48.84394904,1,12,13,56,882,41.03514377,2,12,20,53,921,44.86342229,1
0,0,0,0,0,0,0,0,0,74,76,36.69024652,0,0,0,74,76,36.69024652,1
0,0,0,0,1821,84.73684211,0,0.75,58,62.25,1209,52.0625,0,1,62,93,1418,118.3434343,1
0,0,2,2,4051,60.37096774,1,12,13,60,883,39.95145631,2,7,13,55,921,52.43064516,1
0,0,0,0,0,0,2,65,281,654,1461,404.070761,2,65,281,653.5,1461,403.5375125,0
