type_0_packet_per_IPPair,type_3_packet_per_IPPair,type_8_packet_per_IPPair,src_ip_amount,type_0_payload_len_percentile_0,type_0_payload_len_percentile_25,type_0_payload_len_percentile_50,type_0_payload_len_percentile_75,type_0_payload_len_percentile_100,type_0_payload_len_mean,type_8_payload_len_percentile_0,type_8_payload_len_percentile_25,type_8_payload_len_percentile_50,type_8_payload_len_percentile_75,type_8_payload_len_percentile_100,type_8_payload_len_mean,distance_in_ICMP_pair_percentile_0,distance_in_ICMP_pair_percentile_25,distance_in_ICMP_pair_percentile_50,distance_in_ICMP_pair_percentile_75,distance_in_ICMP_pair_percentile_100,distance_in_ICMP_pair_mean,distance_between_type_8_percentile_0,distance_between_type_8_percentile_25,distance_between_type_8_percentile_50,distance_between_type_8_percentile_75,distance_between_type_8_percentile_100,distance_between_type_8_mean,distance_between_type_0_percentile_0,distance_between_type_0_percentile_25,distance_between_type_0_percentile_50,distance_between_type_0_percentile_75,distance_between_type_0_percentile_100,distance_between_type_0_mean,label
0.5,0,0.5,2,38,38,38,38,38,38,38,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.49851632,0,0.50148368,169,9,18,18,18,18,17.94642857,0,0,0,0,64,2.195266272,0,0,0,0,64,2.195266272,38,40,48,59,60,49,0,0,0,0,18,0.215568862,1
0.666666667,0,0.333333333,61,23,23,24,25,25,24,23,23,23,23,23,23,2,2,2,2,2,2,4,5,5,5,5,4.866666667,2,2,2,7,7,4.41322314,1
0.5,0,0.5,20,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.589285714,0,0.410714286,115,5,5,5,57,654,42.33939394,5,5,5,57,80,24.99130435,0,0,0,0,737,33.87826087,0,0,1,24.25,76,15.28070175,0,0,12,51,623,38.18292683,1
0.5,0,0.5,58,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,3,3,3,4,4,3.421052632,3,3,3,4,4,3.421052632,0
0.5,0,0.5,24,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666666667,0,0.333333333,279,23,25,54,68,102,50.14157706,23,23,68,68,87,54.64874552,0,0,2,30,113,22.62724014,4,12,13,56,81,27.39928058,2,12,13,28,82,21.96768402,1
0.5,0,0.5,32,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,3,3,3,4,4,3.451612903,3,3,3,4,4,3.451612903,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.588495575,0,0.407079646,184,5,5,57,58,1472,52.05639098,5,5,31,57,156,32.06521739,0,0,0,0,1754,40.28494624,0,0,8,10,109,11.33333333,0,0,10,30,1439,46.21886792,1
0.666025024,0,0.333974976,347,23,47,58,68,949,59.1517341,23,61,68,72,88,60.54466859,0,0,0,55,1203,34.34293948,1,12,14,55,82,27.16473988,2,12,21,32,906,32.15050651,1
0.593688363,0,0.40433925,205,5,5,57,93,1472,66.8372093,5,5,5,57,1417,43.77560976,0,0,0,0,2086,52.29756098,0,0,1,44,1375,42.29901961,0,0,41,62,1418,74.12,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670168067,0,0.329831933,314,23,47,58,68,963,65.92163009,23,61,68,68,963,65.48407643,0,0,0,59,1585,48.84394904,1,12,13,56,882,41.03514377,2,12,20,53,921,44.86342229,1
0.5,0,0.5,934,30,86,86,86,86,85.88008565,30,86,86,86,86,85.88008565,0,0,0,0,0,0,0,0,0,74,76,36.69024652,0,0,0,74,76,36.69024652,1
0.5,0,0.5,2946,1,368,736,1104,1472,736.01222,0,368,736,1104,1472,736,0,0,0,0,0,0,1,120,240,450,1470,352.9850391,1,120,240,450,1470,350.6747029,0
0.667024705,0,0.332975295,310,23,25,54,68,963,70.48309179,23,23,61,68,963,61.7,0,0,2,2,4051,60.37096774,1,12,13,60,883,39.95145631,2,7,13,55,921,52.43064516,1
0.583170254,0,0.409001957,209,5,5,57,109,1472,100.5805369,5,5,57,109,1257,56.79904306,0,0,0,0,1821,84.73684211,0,0.75,58,62.25,1209,52.0625,0,1,62,93,1418,118.3434343,1
0.491159136,0,0.491159136,3000,1,374.75,749.5,1124.25,1472,749.26,0,374.75,749.5,1124.25,1472,749.248,0,0,0,0,0,0,2,65,281,654,1461,404.070761,2,65,281,653.5,1461,403.5375125,0
